iter	Passed	Remaining
0	63	63261
1	63	31888
2	64	21443
3	65	16205
4	65	13057
5	66	10950
6	66	9451
7	67	8321
8	67	7443
9	68	6746
10	68	6169
11	69	5690
12	69	5284
13	70	4936
14	70	4635
15	71	4372
16	71	4143
17	72	3936
18	72	3756
19	73	3590
20	73	3440
21	74	3304
22	74	3176
23	75	3062
24	75	2956
25	76	2862
26	77	2776
27	77	2691
28	77	2610
29	78	2537
30	78	2467
31	79	2401
32	80	2344
33	80	2290
34	81	2236
35	81	2186
36	82	2139
37	82	2093
38	83	2053
39	83	2013
40	84	1973
41	84	1936
42	85	1899
43	86	1868
44	86	1836
45	87	1804
46	87	1774
47	88	1746
48	88	1720
49	89	1695
50	89	1669
51	90	1645
52	90	1623
53	91	1600
54	91	1579
55	92	1562
56	93	1542
57	93	1524
58	94	1505
59	94	1487
60	95	1469
61	96	1452
62	96	1435
63	97	1420
64	97	1404
65	98	1389
66	98	1374
67	99	1360
68	99	1347
69	100	1334
70	101	1321
71	101	1309
72	102	1297
73	102	1286
74	103	1274
75	103	1262
76	104	1250
77	104	1238
78	105	1227
79	105	1217
80	106	1206
81	106	1196
82	107	1183
83	107	1173
84	108	1164
85	108	1155
86	109	1147
87	109	1138
88	110	1129
89	110	1122
90	111	1113
91	111	1104
92	112	1097
93	113	1089
94	113	1081
95	114	1074
96	114	1068
97	115	1061
98	115	1054
99	116	1047
100	116	1040
101	117	1033
102	117	1026
103	118	1018
104	118	1012
105	119	1005
106	119	999
107	120	993
108	120	986
109	121	981
110	121	975
111	122	969
112	122	963
113	123	957
114	123	951
115	124	945
116	124	939
117	124	933
118	125	928
119	125	923
120	126	918
121	126	912
122	127	907
123	127	903
124	128	898
125	128	892
126	129	887
127	129	882
128	130	878
129	130	874
130	131	869
131	131	864
132	131	860
133	132	856
134	132	851
135	133	847
136	133	843
137	134	838
138	134	834
139	135	831
140	135	827
141	136	822
142	136	818
143	137	815
144	137	811
145	138	808
146	138	803
147	139	800
148	139	796
149	139	793
150	140	790
151	141	787
152	141	784
153	142	780
154	142	778
155	143	774
156	143	771
157	144	768
158	144	764
159	145	762
160	145	758
161	145	754
162	146	751
163	146	748
164	147	745
165	147	741
166	148	738
167	148	736
168	149	733
169	149	731
170	150	728
171	150	725
172	151	722
173	151	720
174	152	717
175	152	715
176	153	712
177	153	709
178	154	706
179	154	704
180	155	701
181	155	699
182	155	696
183	156	693
184	156	691
185	157	689
186	157	686
187	158	684
188	158	682
189	159	679
190	159	677
191	160	674
192	160	672
193	161	672
194	162	669
195	162	668
196	163	665
197	163	663
198	164	660
199	164	658
200	165	656
201	165	654
202	166	651
203	166	649
204	166	647
205	167	645
206	167	642
207	168	640
208	168	638
209	169	637
210	169	635
211	170	633
212	170	631
213	171	629
214	171	627
215	172	625
216	172	623
217	173	622
218	173	620
219	174	618
220	174	616
221	175	614
222	175	612
223	176	610
224	176	609
225	177	607
226	177	605
227	178	603
228	178	601
229	179	599
230	179	598
231	180	596
232	180	595
233	181	593
234	181	592
235	182	590
236	182	588
237	183	586
238	183	584
239	184	582
240	184	580
241	184	579
242	185	577
243	185	575
244	186	573
245	186	572
246	187	570
247	187	568
248	188	567
249	188	565
250	188	563
251	189	561
252	189	560
253	190	558
254	190	556
255	191	555
256	191	553
257	191	551
258	192	550
259	192	548
260	193	547
261	193	545
262	194	543
263	194	542
264	194	540
265	195	539
266	195	537
267	196	536
268	196	534
269	197	533
270	197	531
271	197	529
272	198	528
273	198	526
274	199	525
275	199	523
276	200	522
277	200	520
278	200	519
279	201	517
280	201	516
281	202	515
282	202	513
283	203	511
284	203	510
285	203	509
286	204	508
287	204	506
288	205	505
289	206	504
290	206	503
291	206	501
292	207	500
293	208	499
294	208	498
295	209	497
296	209	495
297	209	494
298	210	493
299	210	491
300	211	490
301	211	489
302	212	488
303	212	487
304	213	486
305	213	484
306	214	483
307	214	482
308	215	481
309	215	480
310	216	479
311	216	478
312	217	476
313	217	475
314	218	474
315	218	473
316	219	472
317	219	470
318	220	469
319	220	468
320	221	467
321	221	466
322	221	465
323	222	464
324	222	462
325	223	461
326	223	460
327	224	459
328	224	458
329	225	456
330	225	455
331	225	454
332	226	453
333	227	452
334	227	451
335	227	450
336	228	449
337	228	448
338	229	446
339	229	445
340	230	444
341	230	443
342	231	442
343	231	441
344	232	440
345	232	439
346	233	438
347	233	437
348	234	436
349	234	435
350	234	434
351	235	433
352	235	432
353	236	431
354	236	429
355	237	428
356	237	428
357	238	427
358	238	426
359	239	426
360	240	425
361	240	424
362	241	423
363	241	422
364	242	421
365	242	420
366	243	419
367	243	418
368	244	417
369	244	416
370	244	415
371	245	414
372	246	413
373	246	412
374	246	411
375	247	410
376	247	409
377	248	408
378	248	407
379	249	406
380	249	405
381	250	404
382	250	403
383	251	403
384	251	402
385	252	401
386	252	400
387	253	399
388	253	398
389	254	397
390	254	396
391	255	395
392	255	394
393	256	393
394	256	392
395	257	392
396	257	391
397	258	390
398	258	389
399	258	388
400	259	387
401	259	386
402	260	385
403	260	384
404	261	383
405	261	382
406	261	381
407	262	380
408	262	379
409	263	378
410	263	377
411	264	377
412	264	376
413	265	375
414	265	374
415	266	373
416	266	372
417	267	372
418	267	371
419	268	370
420	268	369
421	269	368
422	269	367
423	269	366
424	270	365
425	270	364
426	271	363
427	271	363
428	272	362
429	272	361
430	273	360
431	273	359
432	274	358
433	274	358
434	275	357
435	275	356
436	275	355
437	276	354
438	277	354
439	277	353
440	277	352
441	278	351
442	278	350
443	279	349
444	279	348
445	280	348
446	280	347
447	281	346
448	281	345
449	282	345
450	282	344
451	283	343
452	283	342
453	284	341
454	284	340
455	284	339
456	285	339
457	285	338
458	286	337
459	286	336
460	287	335
461	287	335
462	288	334
463	288	333
464	289	332
465	289	332
466	290	331
467	290	330
468	291	329
469	291	328
470	292	328
471	292	327
472	292	326
473	293	325
474	293	324
475	294	324
476	294	323
477	295	322
478	295	321
479	296	320
480	296	319
481	296	319
482	297	318
483	298	317
484	298	316
485	298	316
486	299	315
487	299	314
488	300	313
489	300	313
490	301	312
491	301	311
492	302	310
493	302	309
494	303	309
495	303	308
496	303	307
497	304	306
498	304	306
499	305	305
